,Rain(mm),TWPsize,9TWPhetro,9HeteroTss(kg),9HeteroOrg(kg),9TWPin,9TWPout,9TWPprist,9MassSettle(kg),18TWPhetro,18HeteroTss(kg),18HeteroOrg(kg),18TWPin,18TWPout,18TWPprist,18MassSettle(kg),27TWPhetro,27HeteroTss(kg),27HeteroOrg(kg),27TWPin,27TWPout,27TWPprist,27MassSettle(kg),PipeName
5,20,20,6.76068E-05,0.000258057,4.81357E-06,0.021267195,0.021128941,0.02086607,0.000138255,0.000204371,0.002866309,2.84639E-05,0.01900535,0.0177636,0.014868827,0.00124175,0.000212473,0.003828219,3.47866E-05,0.017933253,0.0163659,0.012502895,0.001567352,Last
6,20,50,4.69951E-05,0.000182565,3.37031E-06,0.014531894,0.01394146,0.013755524,0.000590434,7.61774E-05,0.001093441,1.08601E-05,0.0070029,0.004143228,0.003038927,0.002859672,6.39255E-05,0.001497517,1.30181E-05,0.005668464,0.002572093,0.001061557,0.003096371,Last
7,20,80,4.38764E-05,0.000174516,3.19443E-06,0.013339428,0.01195195,0.011774239,0.001387479,1.85249E-05,0.001047986,8.58782E-06,0.002465712,0,0,0.002465712,-3.71378E-05,0.001413492,8.98338E-06,-0.00095037,0.000378616,0,-0.001328986,Last
8,20,100,2.44893E-05,0.000101718,1.81078E-06,0.007364894,0.006167945,0.006064416,0.001196949,-2.18597E-05,0.00060609,3.83178E-06,-0.001033371,0.000654559,4.46379E-05,-0.00168793,-7.98357E-05,0.000801949,3.06486E-06,-0.004235883,0.00501944,0.004214426,-0.009255323,Last
9,20,10,0.001485127,0.005280322,0.000114653,0.469800162,0.469036639,0.463641664,0.000763523,0.004974029,0.060778865,0.000899945,0.461554323,0.454015195,0.392336385,0.007539128,0.00547969,0.083498528,0.001180015,0.45757157,0.447573719,0.362895176,0.009997851,Last
10,40,20,5.03506E-05,0.000156793,3.31416E-06,0.021344708,0.021263962,0.021103855,8.07462E-05,0.000172889,0.00163534,1.89655E-05,0.02020738,0.01943768,0.017783374,0.0007697,0.000210734,0.002589649,2.69783E-05,0.019307277,0.018205988,0.01558936,0.001101289,Last
11,40,50,3.56973E-05,0.000112627,2.35819E-06,0.014872977,0.014521328,0.014406343,0.000351649,8.77114E-05,0.000950151,1.06462E-05,0.010207142,0.007777201,0.006816403,0.002429941,8.1981E-05,0.000984019,1.03739E-05,0.007372183,0.004743994,0.003749601,0.002628189,Last
12,40,80,3.46474E-05,0.000110593,2.30594E-06,0.014189039,0.013330214,0.013217315,0.000858825,5.37691E-05,0.000612544,6.9482E-06,0.006188228,0.002416869,0.001797377,0.003771359,3.21581E-05,0.000945054,8.40907E-06,0.003411056,0.000297983,0,0.003113073,Last
13,40,100,2.01034E-05,6.62852E-05,1.34795E-06,0.008141015,0.007371087,0.007303454,0.000769928,2.0417E-05,0.000362872,3.70691E-06,0.002456418,0.000117291,0,0.002339127,-9.26152E-06,0.000548442,3.89976E-06,-0.000147128,6.26772E-05,0,-0.000209806,Last
14,40,10,0.001102654,0.003258579,7.69721E-05,0.470140212,0.469695581,0.466360031,0.00044463,0.003978213,0.032898104,0.00052725,0.46562162,0.461187732,0.427762378,0.004433888,0.005053175,0.05445161,0.000827853,0.462650459,0.456053049,0.400773586,0.006597409,Last
